Pesquisa;Produto;Preço;Link;Loja
Notebook Gamer Acer Nitro 5;Notebook Gamer Acer Nitro V15 Anv15-52-56pd, Intel Core i5-13420h De 13ªG, 8GB RAM, RTX4050, SSD 512GB, Tela 15.6” FHD, WINDOWS 11;R$ 5.984,10;https://www.kabum.com.br/produto/986009/notebook-acer-nitro-v15-anv15-52-56pd-nvidia-rtx-4050-intel-core-i5-13420h-15-6-8gb-512gb-ssd-windows-11-home-nh-u0cal-002;KaBuM
Monitor Gamer LG Ultragear 27;"Monitor Gamer LG UltraGear 27"", Full HD, 144Hz, 1ms, IPS, G-Sync, FreeSync, HDR10, Preto - 27G411A-B";R$ 779,99;https://www.kabum.com.br/produto/986740/monitor-gamer-lg-ultragear-27-full-hd-144hz-1ms-ips-g-sync-freesync-hdr10-preto-27g411a-b;KaBuM
Monitor Gamer LG Ultragear 27;"Monitor Gamer LG UltraGear 27"", FHD, 180Hz, 1ms, IPS, DP e HDMI, HDR10, FreeSync, G-Sync - 27GS60F-B";R$ 989,99;https://www.kabum.com.br/produto/620992/monitor-gamer-lg-ultragear-27-fhd-180hz-1ms-ips-dp-e-hdmi-hdr10-freesync-g-sync-27gs60f-b;KaBuM
Monitor Gamer LG Ultragear 27;"Monitor Gamer LG UltraGear 24"", Full HD, 144Hz, 1ms, IPS, G-Sync, FreeSync, HDR10, Preto - 24G411A-B";R$ 629,99;https://www.kabum.com.br/produto/986739/monitor-gamer-lg-ultragear-24-full-hd-144hz-1ms-ips-g-sync-freesync-hdr10-preto-24g411a-b;KaBuM
Mouse Sem Fio Logitech G305;Mouse Gamer Sem Fio Logitech G305 LIGHTSPEED, 12000 DPI, 6 Botões, Preto - 910-005281;R$ 179,99;https://www.kabum.com.br/produto/97092/mouse-gamer-sem-fio-logitech-g305-lightspeed-12000-dpi-6-botoes-preto-910-005281;KaBuM
Mouse Sem Fio Logitech G305;Mouse Gamer Sem Fio Logitech G305 Lightspeed, 12.000 DPI, 6 Botões Programáveis, Branco - 910-005290;R$ 179,98;https://www.kabum.com.br/produto/269638/mouse-gamer-sem-fio-logitech-g305-lightspeed-12-000-dpi-6-botoes-programaveis-branco-910-005290;KaBuM
Mouse Sem Fio Logitech G305;Mouse Gamer Sem Fio Logitech G305 LIGHTSPEED, 12000 DPI, 6 Botões, Preto - 910-005281;R$ 179,99;https://www.kabum.com.br/produto/97092/mouse-gamer-sem-fio-logitech-g305-lightspeed-12000-dpi-6-botoes-preto-910-005281;KaBuM
Teclado Mecânico Razer BlackWidow;Teclado Mecânico Gamer Razer BlackWidow V3 Tenkeyless, Chroma Razer RGB, Switch Yellow, US, Preto - RZ03-03491800-R3M1;R$ 799,99;https://www.kabum.com.br/produto/156354/teclado-mecanico-gamer-razer-blackwidow-v3-tenkeyless-chroma-razer-rgb-switch-yellow-us-preto-rz03-03491800-r3m1;KaBuM
Teclado Mecânico Razer BlackWidow;Teclado Mecânico Gamer Razer BlackWidow V4 X, Chroma RGB, Switch Green, Minecraft Edition, Layout US - RZ03-04704100-R3M1;R$ 1.079,99;https://www.kabum.com.br/produto/921143/teclado-mecanico-gamer-razer-blackwidow-v4-x-chroma-rgb-switch-green-minecraft-edition-layout-us-rz03-04704100-r3m1;KaBuM
Teclado Mecânico Razer BlackWidow;Teclado Mecânico Gamer Razer BlackWidow V4 X, Chroma RGB, Switch Green, Pokémon Kanto Starters Edition, Layout US - RZ03-04704200-R3M1;R$ 1.099,99;https://www.kabum.com.br/produto/921150/teclado-mecanico-gamer-razer-blackwidow-v4-x-chroma-rgb-switch-green-pokemon-kanto-starters-edition-layout-us-rz03-04704200-r3m1;KaBuM
Headset Gamer HyperX Cloud II;Headset Gamer HyperX Cloud III, DTS, Drivers 53mm, USB, PC, PS5, PS4, XBOX Series X/S, Xbox One, Nintendo Switch, Mobile, Preto e Vermelho - 727A9AA;R$ 429,99;https://www.kabum.com.br/produto/467535/headset-gamer-hyperx-cloud-iii-dts-drivers-53mm-usb-pc-ps5-ps4-xbox-series-x-s-xbox-one-nintendo-switch-mobile-preto-e-vermelho-727a9aa;KaBuM
